Beginning 24000 episodes of Training
19700 24000 -507.097715736 -490.1 2.29635500908
19800 24000 -507.081111111 -503.81 2.56582403183
19900 24000 -507.082211055 -507.3 4.10221505165
20000 24000 -506.8753 -465.7 2.89913201332
20100 24000 -506.886666667 -509.16 3.23098516464
20200 24000 -506.77019802 -483.36 2.70164084435
20300 24000 -506.695073892 -491.52 2.40506982803
20400 24000 -506.640147059 -495.49 2.58598399162
20500 24000 -506.680731707 -514.96 3.23582315445
20600 24000 -506.613495146 -492.83 2.60738301277
20700 24000 -506.417971014 -466.14 2.87104296684
20800 24000 -506.440673077 -511.14 2.3460650444
20900 24000 -506.318803828 -480.97 2.47372102737
21000 24000 -506.302190476 -502.83 2.50859999657
21100 24000 -506.297203791 -505.25 2.62451505661
21200 24000 -506.284386792 -503.58 7.71649217606
21300 24000 -506.22915493 -494.52 2.66012191772
21400 24000 -506.173130841 -494.24 2.85700678825
21500 24000 -506.119860465 -494.72 3.06592106819
21600 24000 -506.067037037 -494.71 2.99435806274
21700 24000 -506.006958525 -493.03 51.7850739956
21800 24000 -505.865 -475.06 2.87764906883
21900 24000 -505.832146119 -498.67 3.90220308304
22000 24000 -505.730454545 -483.46 2.57467603683
22100 24000 -505.633393665 -484.28 3.47465109825
22200 24000 -505.473693694 -470.18 2.39749407768
22300 24000 -505.350717489 -478.05 2.16697216034
22400 24000 -505.315044643 -497.36 3.9448029995
22500 24000 -505.2256 -485.19 3.46309900284
22600 24000 -505.254070796 -511.66 2.7594499588
22700 24000 -505.192643172 -491.31 3.03002595901
22800 24000 -505.062631579 -475.55 2.75606894493
22900 24000 -505.023231441 -496.04 3.52721714973
23000 24000 -504.971652174 -493.16 2.66807293892
23100 24000 -504.905844156 -489.77 2.77378106117
23200 24000 -504.815775862 -484.01 3.12626409531
23300 24000 -504.77193133 -494.6 2.7940299511
23400 24000 -504.724358974 -493.64 3.25387907028
23500 24000 -504.637531915 -484.32 2.446600914
23600 24000 -504.455084746 -461.58 2.97494792938
23700 24000 -504.371687764 -484.69 2.66900396347
23800 24000 -504.205966387 -464.93 3.39832210541
23900 24000 -504.037405858 -463.92 2.49391508102
24000 24000 -503.97725 -489.6 2.95628213882
Training Done (turning off epsilon and alpha)
---------------------------------------------
Pacman died! Score: -513
Pacman died! Score: -493
Pacman died! Score: -499
Pacman died! Score: -515
Pacman died! Score: -581
Pacman died! Score: -508
Pacman died! Score: -500
Pacman died! Score: -533
Pacman died! Score: -502
Pacman died! Score: -522
Pacman died! Score: -577
Pacman died! Score: -519
Pacman died! Score: -496
Pacman died! Score: -546
Pacman died! Score: -549
Pacman died! Score: -542
Pacman died! Score: -522
Pacman died! Score: -497
Pacman died! Score: -506
Pacman died! Score: -524
Pacman died! Score: -532
Pacman died! Score: -522
Pacman died! Score: -525
Pacman died! Score: -493
Pacman died! Score: -513
Pacman died! Score: -520
Pacman died! Score: -522
Pacman died! Score: -551
Pacman died! Score: -605
Pacman died! Score: -499
Pacman died! Score: -490
Pacman died! Score: -511
Pacman died! Score: -496
Pacman died! Score: -489
Pacman died! Score: -519
Pacman died! Score: -544
Pacman died! Score: -523
Pacman died! Score: -519
Pacman died! Score: -523
Pacman died! Score: -509
Pacman died! Score: -565
Pacman died! Score: -524
Pacman died! Score: -524
Pacman died! Score: -518
Pacman died! Score: -493
Pacman died! Score: -488
Pacman died! Score: -521
Pacman died! Score: -599
Pacman died! Score: -515
Pacman died! Score: -503
Pacman died! Score: -511
Pacman died! Score: -572
Pacman died! Score: -506
Pacman died! Score: -505
Pacman died! Score: -528
Pacman died! Score: -562
Pacman died! Score: -512
Pacman died! Score: -533
Pacman died! Score: -483
Pacman died! Score: -568
Pacman died! Score: -504
Pacman died! Score: -513
Pacman emerges victorious! Score: 501
Pacman died! Score: -498
Pacman died! Score: -506
Pacman died! Score: -599
Pacman died! Score: -504
Pacman died! Score: -541
Pacman died! Score: -530
Pacman died! Score: -547
Pacman died! Score: -493
Pacman died! Score: -563
Pacman died! Score: -514
Pacman died! Score: -529
Pacman died! Score: -499
Pacman died! Score: -576
Pacman died! Score: -536
Pacman died! Score: -527
Pacman died! Score: -494
Pacman died! Score: -517
Pacman died! Score: -522
Pacman died! Score: -605
Pacman died! Score: -510
Pacman died! Score: -515
Pacman died! Score: -502
Pacman died! Score: -509
Pacman died! Score: -502
Pacman died! Score: -531
Pacman died! Score: -507
Pacman died! Score: -506
Pacman died! Score: -538
Pacman died! Score: -503
Pacman died! Score: -535
Pacman died! Score: -499
Pacman died! Score: -512
Pacman died! Score: -489
Pacman died! Score: -546
Pacman died! Score: -563
Pacman died! Score: -532
Pacman died! Score: -554
Average Score: -513.48
Scores:        -513.0, -493.0, -499.0, -515.0, -581.0, -508.0, -500.0, -533.0, -502.0, -522.0, -577.0, -519.0, -496.0, -546.0, -549.0, -542.0, -522.0, -497.0, -506.0, -524.0, -532.0, -522.0, -525.0, -493.0, -513.0, -520.0, -522.0, -551.0, -605.0, -499.0, -490.0, -511.0, -496.0, -489.0, -519.0, -544.0, -523.0, -519.0, -523.0, -509.0, -565.0, -524.0, -524.0, -518.0, -493.0, -488.0, -521.0, -599.0, -515.0, -503.0, -511.0, -572.0, -506.0, -505.0, -528.0, -562.0, -512.0, -533.0, -483.0, -568.0, -504.0, -513.0, 501.0, -498.0, -506.0, -599.0, -504.0, -541.0, -530.0, -547.0, -493.0, -563.0, -514.0, -529.0, -499.0, -576.0, -536.0, -527.0, -494.0, -517.0, -522.0, -605.0, -510.0, -515.0, -502.0, -509.0, -502.0, -531.0, -507.0, -506.0, -538.0, -503.0, -535.0, -499.0, -512.0, -489.0, -546.0, -563.0, -532.0, -554.0
Win Rate:      1/100 (0.01)
Record:        Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Win, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss, Loss
